id        desg         alt
     1166    P/2019 A7               
     1168    P/2019 A8               
     1203    P/2019 B1               
     1169    P/2019 B2               
     1176         380P P/2019 G1
     1182  P/2019 GG21               
     1331   P/2019 LD2               
     1326   P/2019 LM4               
     1201    P/2019 M2               
     1208    P/2019 P1               
     1216    P/2019 S2               
     1217    P/2019 S3               
     1242    P/2019 T5               
     1224    P/2019 T6               
     1225    P/2019 U4               
     1235    P/2019 V2               
     1241    P/2019 W1               
     1240    P/2019 X1               
     1250    P/2019 X2               
     1245    P/2019 Y2               
     1246    P/2019 Y3               
     1310         396P P/2020 F1
     1313    P/2020 F4               
     1318    P/2020 G1               
     1357    P/2020 K9               
     1341    P/2020 M1               
     1354    P/2020 O1               
     1356    P/2020 O3               
     1367    P/2020 R1               
     1370    P/2020 R5               
     1371    P/2020 S1               
     1377    P/2020 S5               
     1243           2I               
      806           2P               
      807           4P               
      808           6P               
      809           7P               
      810           8P               
      811           9P               
      812          10P               
      813          11P               
     1300          12P               
     1302          13P               
      814          14P               
      815          15P               
      816          16P               
      817          17P               
      818          19P               
      819          21P               
      820          22P               
      821          24P               
      822          26P               
      823          28P               
       12          29P               
      824          30P               
      825          31P               
      826          32P               
      827          33P               
      828          36P               
      829          37P               
      830          38P               
       13          39P               
      831          40P               
      832          41P               
      833          42P               
      834          43P               
      835          44P               
      836          45P               
      837          46P               
      838          47P               
      839          48P               
      840          49P               
      841          50P               
      842        51P-A               
      843        51P-D               
      844          52P               
      845          53P               
      846          54P               
      847          56P               
      848          57P               
      849          58P               
      850          59P               
      851          60P               
      852          61P               
      853          62P               
      854          63P               
      855          64P               
      856          65P               
      857          66P               
      858          67P               
      859          68P               
      860          69P               
      861          70P               
      862          71P               
      863          72P               
      864          73P               
      865       73P-BT               
      866          74P               
      867          76P               
      868          77P               
      869          78P               
      870          79P               
      871          80P               
      872          81P               
      873          82P               
      874          84P               
      875          86P               
      876          87P               
      877          88P               
      878          89P               
      879          90P               
      880          91P               
      881          92P               
      882          93P               
      883          94P               
      884          96P               
      885          97P               
      886          98P               
      887          99P               
      888         100P               
      889         101P               
     1378       101P-B               
      890         102P               
      891         103P               
      892         104P               
      893         105P               
      894         106P               
      896         108P               
      897         110P               
      898         111P               
      899         112P               
      900         113P               
      901         114P               
      902         115P               
      903         116P               
      904         117P               
      905         118P               
      906         119P               
      907         120P               
      908         121P               
      909         123P               
      910         124P               
      911         125P               
      912         126P               
      913         127P               
      914         128P               
      915         129P               
      916         130P               
      917         131P               
      918         132P               
      920         134P               
      921         135P               
      922         136P               
      923         137P               
      924         138P               
      925         139P               
      926         140P               
      927         141P               
      928         142P               
      929         143P               
      930         144P               
      931         145P               
      932         146P               
      933         147P               
      934         148P               
      935         149P               
      936         150P               
      937         151P               
      938         152P               
      939         154P               
      940         155P               
      941         156P               
      942         157P               
      943         158P               
      944         159P               
      945         160P               
      946         162P               
      947         163P               
      948         164P               
       14         165P               
       15         166P               
       16         167P               
      949         168P               
      950         169P               
      951         170P               
      952         171P               
      953         172P               
      954         173P               
      955         175P               
      957         178P               
      958         179P               
      959         180P               
      960         181P               
      961         182P               
      962         183P               
      963         184P               
      964         185P               
      965         186P               
      966         187P               
      967         188P               
      968         189P               
      969         190P               
      970         191P               
     1303         192P               
      971         193P               
      972         194P               
      973         195P               
      974         196P               
      975         197P               
      976         198P               
      977         199P               
      978         200P               
      979         201P               
      980         202P               
      981         203P               
      982         204P               
      983         205P               
      984         206P               
      985         207P               
      986         208P               
      987         209P               
      988         210P               
      989         211P               
      990         212P               
      991         213P               
      992         214P               
      993         215P               
      994         216P               
      995         217P               
      996         218P               
      997         219P               
      998         220P               
      999         221P               
     1000         222P               
     1001         223P               
     1002         224P               
     1003         225P               
     1004         226P               
     1005         227P               
     1006         228P               
     1007         229P               
     1008         230P               
     1009         231P               
     1010         232P               
     1011         233P               
     1012         234P               
     1013         235P               
     1014         236P               
     1015         237P               
     1016         238P               
     1017         239P               
     1018         240P               
     1019         241P               
     1020         242P               
     1021         243P               
     1022         244P               
     1023         245P               
     1024         246P               
     1025         247P               
     1026         248P               
     1027         249P               
     1028         250P               
     1029         251P               
     1030         252P               
     1031         253P               
     1032         254P               
     1033         255P               
     1034         256P               
     1035         257P               
     1036         258P               
     1037         259P               
     1038         260P               
     1039         261P               
     1040         263P               
     1041         264P               
     1042         265P               
